[2022-05-09 07:34:00.425] [uploader] [info] [pingpong_mfr_node.cpp:117] Prepare upload: 2022-05-09-07-06-13
[2022-05-09 07:34:00.425] [uploader] [info] [upload_manager.cpp:157] ADD PATH: 2022-05-09-07-06-13
[2022-05-09 07:34:01.239] [uploader] [info] [upload_manager.cpp:104] Working... thread-id: 140005730043648
[2022-05-09 07:34:01.239] [uploader] [info] [upload_manager.cpp:105] Start upload path: 2022-05-09-07-06-13
[2022-05-09 07:34:01.239] [uploader] [info] [data_manager.cpp:272] car_imei_: RX5_EF41575
[2022-05-09 07:34:01.239] [uploader] [info] [data_manager.cpp:273] start_timestamp: 1652079973592892
[2022-05-09 07:34:01.239] [uploader] [info] [data_manager.cpp:274] end_timestamp: 1652080573595818
[2022-05-09 07:34:01.239] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/small_files
[2022-05-09 07:34:01.244] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.244] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/calibration/calibration
[2022-05-09 07:34:01.249] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.249] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide
[2022-05-09 07:34:01.252] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.252] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.255] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.255] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.259] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.259] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide_perception
[2022-05-09 07:34:01.263] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
